client_id,train_samples,validation_samples,train_class_distribution,validation_class_distribution,train_feature_fingerprint_sha256,train_label_fingerprint_sha256,validation_feature_fingerprint_sha256,validation_label_fingerprint_sha256
client_10,4549,1138,"{""0"": 74, ""1"": 159, ""10"": 119, ""11"": 6, ""12"": 2, ""13"": 150, ""17"": 5, ""18"": 160, ""19"": 195, ""2"": 10, ""20"": 130, ""21"": 100, ""22"": 247, ""23"": 34, ""24"": 19, ""25"": 23, ""26"": 16, ""27"": 10, ""28"": 2, ""29"": 18, ""3"": 23, ""30"": 117, ""31"": 3, ""32"": 78, ""33"": 2, ""34"": 466, ""35"": 8, ""36"": 11, ""37"": 280, ""38"": 15, ""39"": 534, ""4"": 18, ""40"": 21, ""41"": 40, ""42"": 54, ""43"": 226, ""44"": 494, ""45"": 61, ""46"": 56, ""5"": 4, ""6"": 41, ""7"": 24, ""8"": 419, ""9"": 75}","{""0"": 19, ""1"": 30, ""10"": 28, ""11"": 2, ""12"": 3, ""13"": 32, ""18"": 34, ""19"": 52, ""20"": 32, ""21"": 36, ""22"": 65, ""23"": 11, ""24"": 3, ""25"": 5, ""26"": 3, ""27"": 4, ""28"": 1, ""29"": 3, ""3"": 4, ""30"": 37, ""31"": 1, ""32"": 23, ""33"": 1, ""34"": 111, ""35"": 4, ""36"": 8, ""37"": 70, ""38"": 4, ""39"": 142, ""40"": 6, ""41"": 8, ""42"": 8, ""43"": 42, ""44"": 123, ""45"": 10, ""46"": 20, ""5"": 2, ""6"": 11, ""7"": 11, ""8"": 111, ""9"": 18}",52240a5c91fb5321e87ca93c3446c68925f7ec57b4da045ca5546a69b342933b,f6fc472598eb9b7559aaab03c8324819b8ac511d53ad796fcda86026a931e13e,88c84b715c572fc19a72ff86f3a08a3f2f2e21bc0bdd8d520ec332aa0585338a,7812ccb65e912f357a083da6649b3845bb79a970a1f2f41009f71e36b51e2a95
client_11,3534,884,"{""0"": 70, ""10"": 44, ""11"": 8, ""12"": 91, ""14"": 118, ""15"": 22, ""16"": 54, ""17"": 24, ""18"": 14, ""19"": 77, ""2"": 471, ""20"": 163, ""21"": 44, ""22"": 2, ""24"": 54, ""25"": 58, ""26"": 1, ""28"": 1, ""29"": 199, ""3"": 37, ""30"": 16, ""31"": 54, ""32"": 35, ""33"": 62, ""34"": 170, ""35"": 31, ""36"": 29, ""37"": 1, ""38"": 280, ""39"": 3, ""4"": 135, ""40"": 190, ""41"": 135, ""42"": 177, ""43"": 14, ""44"": 302, ""45"": 16, ""46"": 32, ""5"": 13, ""6"": 78, ""7"": 36, ""8"": 172, ""9"": 1}","{""0"": 18, ""10"": 6, ""11"": 6, ""12"": 17, ""14"": 23, ""15"": 7, ""16"": 14, ""17"": 2, ""18"": 4, ""19"": 13, ""2"": 137, ""20"": 35, ""21"": 4, ""22"": 1, ""23"": 1, ""24"": 4, ""25"": 14, ""29"": 52, ""3"": 11, ""30"": 2, ""31"": 20, ""32"": 12, ""33"": 17, ""34"": 42, ""35"": 13, ""36"": 7, ""37"": 1, ""38"": 63, ""4"": 39, ""40"": 47, ""41"": 44, ""42"": 47, ""43"": 6, ""44"": 71, ""45"": 5, ""46"": 9, ""5"": 4, ""6"": 16, ""7"": 7, ""8"": 42, ""9"": 1}",dbbf16033d759219091407acdaabdf545f159453f123dc6e7c23929f030b398d,605e9b75af8619da9e8824630c206823306b89814be6752dba03caf6972a176c,fbb60a6e56ed3f48f045a8a7fd9a5701e3205ce8303a2846c29eead2c10cc62d,133af3a41cb75905d953d512e87e9137f6dc95cbfd8230c5d29054b0ebf6f708
client_12,4642,1161,"{""0"": 86, ""1"": 445, ""10"": 141, ""11"": 28, ""12"": 39, ""13"": 251, ""14"": 37, ""15"": 3, ""16"": 44, ""17"": 15, ""18"": 263, ""2"": 33, ""20"": 122, ""21"": 130, ""22"": 1, ""23"": 172, ""24"": 79, ""25"": 1, ""26"": 1, ""27"": 1, ""28"": 77, ""29"": 36, ""3"": 23, ""30"": 113, ""31"": 40, ""32"": 2, ""33"": 66, ""34"": 7, ""35"": 255, ""36"": 1, ""37"": 11, ""38"": 23, ""39"": 6, ""4"": 31, ""40"": 57, ""41"": 1, ""42"": 59, ""43"": 297, ""44"": 27, ""45"": 767, ""46"": 257, ""5"": 6, ""6"": 52, ""7"": 275, ""9"": 261}","{""0"": 25, ""1"": 107, ""10"": 34, ""11"": 9, ""12"": 13, ""13"": 56, ""14"": 10, ""16"": 7, ""17"": 1, ""18"": 70, ""2"": 8, ""20"": 29, ""21"": 31, ""23"": 50, ""24"": 23, ""26"": 1, ""27"": 1, ""28"": 25, ""29"": 12, ""3"": 9, ""30"": 28, ""31"": 14, ""33"": 11, ""35"": 64, ""37"": 4, ""38"": 3, ""39"": 2, ""4"": 9, ""40"": 13, ""42"": 15, ""43"": 84, ""44"": 9, ""45"": 182, ""46"": 50, ""5"": 2, ""6"": 9, ""7"": 77, ""9"": 64}",c25bf924f3be2cf2ad6e13ba465fdfda60ca3a4aedc050e1a687e0b7fe666586,96d345c6bd01196395ed80f419cfe39cd1aad9810dc18d4b102faa2104fee921,9427c8375b2043c260eb37f09f3f3272ebf90139a84061320d0133ebeb0b13d7,2c85dee09d9872cbd762fef10ea5eae56c92b03590d8eb5186273c2bd31ab503
client_13,4984,1246,"{""0"": 4, ""1"": 11, ""10"": 112, ""11"": 1, ""12"": 22, ""13"": 53, ""14"": 1, ""15"": 34, ""16"": 51, ""17"": 4, ""18"": 10, ""19"": 482, ""2"": 36, ""20"": 52, ""21"": 14, ""22"": 9, ""23"": 2, ""24"": 1, ""25"": 79, ""26"": 5, ""27"": 338, ""28"": 555, ""29"": 415, ""3"": 36, ""30"": 7, ""31"": 129, ""32"": 2, ""33"": 6, ""34"": 52, ""35"": 94, ""36"": 181, ""37"": 3, ""38"": 11, ""39"": 42, ""4"": 61, ""40"": 365, ""41"": 215, ""42"": 59, ""43"": 9, ""44"": 14, ""45"": 266, ""46"": 536, ""5"": 42, ""6"": 26, ""7"": 284, ""8"": 28, ""9"": 225}","{""0"": 1, ""1"": 5, ""10"": 21, ""12"": 5, ""13"": 16, ""15"": 6, ""16"": 19, ""17"": 2, ""18"": 2, ""19"": 144, ""2"": 11, ""20"": 12, ""21"": 2, ""22"": 2, ""25"": 17, ""26"": 3, ""27"": 97, ""28"": 134, ""29"": 94, ""3"": 5, ""31"": 32, ""34"": 13, ""35"": 20, ""36"": 50, ""37"": 2, ""38"": 5, ""39"": 12, ""4"": 15, ""40"": 82, ""41"": 45, ""42"": 15, ""43"": 1, ""44"": 2, ""45"": 77, ""46"": 111, ""5"": 10, ""6"": 7, ""7"": 91, ""8"": 9, ""9"": 49}",339e49cbc018322325d880bba0b395ca948d52a2f968b27e4fcb0dd3a7f00905,e3af4e4777e861ebd6b3ff3faffeb6ea53e492251daa1824a9436765609dbb8a,281386c8275ecda2e24a0088cb201ab615eb5b84566374816aacc55ddbc59215,fca705b7083e363b3e8a04f430239488c50212124e42cc34520d7895064efb6c
client_14,5164,1291,"{""0"": 112, ""1"": 38, ""10"": 26, ""11"": 97, ""12"": 25, ""13"": 421, ""14"": 243, ""15"": 532, ""16"": 196, ""17"": 117, ""18"": 46, ""19"": 9, ""2"": 22, ""20"": 27, ""21"": 136, ""22"": 48, ""23"": 134, ""24"": 387, ""25"": 13, ""26"": 27, ""27"": 16, ""28"": 15, ""29"": 61, ""3"": 19, ""30"": 59, ""31"": 238, ""33"": 128, ""34"": 380, ""35"": 137, ""37"": 106, ""38"": 6, ""39"": 3, ""4"": 458, ""40"": 87, ""41"": 278, ""42"": 160, ""43"": 67, ""44"": 9, ""45"": 1, ""46"": 147, ""5"": 37, ""6"": 16, ""7"": 63, ""8"": 15, ""9"": 2}","{""0"": 33, ""1"": 12, ""10"": 5, ""11"": 27, ""12"": 7, ""13"": 105, ""14"": 54, ""15"": 141, ""16"": 55, ""17"": 28, ""18"": 14, ""19"": 1, ""2"": 7, ""20"": 6, ""21"": 26, ""22"": 7, ""23"": 34, ""24"": 101, ""25"": 1, ""26"": 5, ""27"": 2, ""28"": 3, ""29"": 16, ""3"": 7, ""30"": 13, ""31"": 64, ""32"": 1, ""33"": 23, ""34"": 87, ""35"": 30, ""37"": 22, ""38"": 3, ""4"": 103, ""40"": 21, ""41"": 77, ""42"": 32, ""43"": 18, ""44"": 4, ""45"": 1, ""46"": 45, ""5"": 20, ""6"": 8, ""7"": 16, ""8"": 5, ""9"": 1}",f2dab08522d4c2c308c4cd5256502c19a18d4c207ea6fe24daabab8c4598e80e,27e732855d6bae1b506b0b637b57fc0a5067ee925203f228a54ea552a7ac2035,2caa04fdbc8472ff9c63260a21abd4a42bd36333a8b414dc8ae3dabaa15d8e68,52e6b1ab2f5accff7cea57f8960268dc1833d42ce699aaa19855f2331b90dcff
client_15,4290,1073,"{""0"": 2, ""1"": 3, ""10"": 11, ""11"": 1, ""12"": 23, ""13"": 37, ""14"": 80, ""15"": 41, ""16"": 679, ""17"": 2, ""18"": 8, ""19"": 23, ""2"": 1, ""20"": 12, ""21"": 505, ""22"": 59, ""24"": 4, ""25"": 370, ""26"": 316, ""28"": 16, ""29"": 126, ""3"": 93, ""31"": 259, ""32"": 74, ""33"": 160, ""34"": 6, ""35"": 2, ""36"": 3, ""37"": 23, ""38"": 159, ""39"": 29, ""4"": 312, ""40"": 3, ""41"": 151, ""42"": 71, ""43"": 14, ""44"": 73, ""45"": 1, ""46"": 2, ""5"": 323, ""6"": 37, ""7"": 98, ""8"": 21, ""9"": 57}","{""1"": 1, ""10"": 5, ""12"": 8, ""13"": 9, ""14"": 25, ""15"": 9, ""16"": 160, ""17"": 3, ""19"": 7, ""20"": 2, ""21"": 107, ""22"": 12, ""24"": 2, ""25"": 95, ""26"": 72, ""28"": 1, ""29"": 29, ""3"": 28, ""31"": 58, ""32"": 21, ""33"": 49, ""37"": 8, ""38"": 33, ""39"": 11, ""4"": 86, ""40"": 4, ""41"": 43, ""42"": 18, ""43"": 5, ""44"": 16, ""45"": 1, ""46"": 1, ""5"": 88, ""6"": 6, ""7"": 20, ""8"": 3, ""9"": 27}",56e0689825be433254db08ba2560e4c9384275ad354c00617adb6f392959c393,af7a2a9b5ad791ab55a05c17c41b8f59de86747706ee28e2ddfc3ad715ffb97e,2fb994fda12ece99fe748b02c6f583676d72038feb049e5d92d5a09bd8495fd7,32fd0b7c1940d7d8396095479b0c478e3f38f4763fa573c7663efd1aa2fdb9f6
client_16,5657,1415,"{""0"": 36, ""1"": 6, ""10"": 12, ""11"": 74, ""12"": 255, ""13"": 85, ""14"": 2, ""15"": 479, ""16"": 69, ""17"": 127, ""18"": 101, ""19"": 115, ""2"": 8, ""20"": 587, ""21"": 53, ""22"": 110, ""23"": 39, ""24"": 275, ""25"": 18, ""26"": 8, ""27"": 141, ""3"": 18, ""30"": 7, ""31"": 50, ""32"": 472, ""33"": 44, ""34"": 266, ""35"": 19, ""36"": 27, ""37"": 58, ""38"": 199, ""39"": 128, ""4"": 242, ""40"": 34, ""41"": 123, ""42"": 10, ""43"": 363, ""44"": 123, ""45"": 2, ""46"": 7, ""5"": 105, ""6"": 729, ""7"": 16, ""8"": 1, ""9"": 14}","{""0"": 11, ""1"": 2, ""10"": 2, ""11"": 12, ""12"": 60, ""13"": 25, ""14"": 1, ""15"": 105, ""16"": 14, ""17"": 40, ""18"": 37, ""19"": 30, ""2"": 3, ""20"": 140, ""21"": 14, ""22"": 32, ""23"": 9, ""24"": 59, ""25"": 5, ""26"": 3, ""27"": 42, ""28"": 1, ""3"": 1, ""30"": 3, ""31"": 8, ""32"": 110, ""33"": 13, ""34"": 73, ""35"": 9, ""36"": 4, ""37"": 17, ""38"": 53, ""39"": 41, ""4"": 75, ""40"": 15, ""41"": 24, ""42"": 6, ""43"": 91, ""44"": 21, ""46"": 6, ""5"": 25, ""6"": 164, ""7"": 3, ""9"": 6}",6441ffc8068304529741632146901c007148bd295d8c72009d29d0eb4ec61ff8,ed664a9c72d4ae845cedaacd3c2081e6e34c41ef94846cff6acce7749641eec2,0fa7e31424e458dd3424b5e9b28b711529c9ffc39d9f948538f39c3b20bd2f79,556ed91bf84086bf6367224460ee5586e02eb85157500f2313fa954abb9be213
client_17,4500,1126,"{""0"": 12, ""1"": 76, ""11"": 247, ""12"": 52, ""13"": 95, ""14"": 14, ""15"": 12, ""16"": 399, ""17"": 78, ""18"": 143, ""2"": 4, ""20"": 23, ""21"": 80, ""22"": 38, ""23"": 105, ""24"": 17, ""25"": 21, ""26"": 43, ""27"": 202, ""28"": 125, ""29"": 159, ""3"": 48, ""30"": 30, ""31"": 2, ""32"": 229, ""33"": 167, ""34"": 9, ""35"": 181, ""36"": 230, ""37"": 108, ""38"": 3, ""40"": 38, ""41"": 67, ""42"": 177, ""43"": 69, ""44"": 16, ""45"": 64, ""46"": 569, ""5"": 198, ""6"": 13, ""7"": 7, ""8"": 96, ""9"": 234}","{""0"": 2, ""1"": 18, ""11"": 70, ""12"": 15, ""13"": 27, ""14"": 3, ""15"": 3, ""16"": 109, ""17"": 21, ""18"": 26, ""2"": 2, ""20"": 5, ""21"": 16, ""22"": 10, ""23"": 27, ""24"": 3, ""25"": 6, ""26"": 13, ""27"": 56, ""28"": 27, ""29"": 38, ""3"": 13, ""30"": 5, ""32"": 76, ""33"": 40, ""34"": 3, ""35"": 43, ""36"": 53, ""37"": 30, ""38"": 1, ""40"": 15, ""41"": 8, ""42"": 40, ""43"": 21, ""44"": 1, ""45"": 22, ""46"": 148, ""5"": 52, ""6"": 1, ""7"": 1, ""8"": 17, ""9"": 39}",ee66ccf6855a4dcf83dbca96c7ac9de57464d4fbd44259199a8d6cbb4e1f35ce,0ffd7f9e5384d42e40cb0c41e7f45067b3bd58282c6ab0020b2635c3cee39f2c,aa9bcfaf888c4b194f1aa64362ff20e0ed6927452c16d2a7d6f402b4a34a8611,7906459e8d4d760d7dccfbbf73c178752df1a9b6415a618d390e665d2faff6dd
client_18,4432,1109,"{""0"": 158, ""1"": 63, ""10"": 258, ""11"": 78, ""12"": 6, ""13"": 27, ""14"": 191, ""15"": 16, ""16"": 3, ""17"": 77, ""18"": 91, ""19"": 49, ""2"": 143, ""20"": 248, ""21"": 82, ""22"": 242, ""23"": 100, ""24"": 85, ""25"": 20, ""26"": 2, ""27"": 70, ""28"": 15, ""29"": 9, ""3"": 306, ""30"": 12, ""31"": 87, ""32"": 156, ""33"": 22, ""34"": 3, ""35"": 206, ""36"": 11, ""37"": 73, ""38"": 31, ""39"": 607, ""4"": 98, ""40"": 70, ""41"": 107, ""42"": 25, ""43"": 7, ""44"": 54, ""45"": 6, ""46"": 15, ""5"": 17, ""6"": 37, ""7"": 46, ""8"": 206, ""9"": 197}","{""0"": 39, ""1"": 16, ""10"": 65, ""11"": 19, ""12"": 1, ""13"": 7, ""14"": 48, ""15"": 4, ""16"": 1, ""17"": 19, ""18"": 23, ""19"": 12, ""2"": 36, ""20"": 62, ""21"": 21, ""22"": 61, ""23"": 25, ""24"": 21, ""25"": 5, ""27"": 18, ""28"": 4, ""29"": 2, ""3"": 76, ""30"": 3, ""31"": 22, ""32"": 39, ""33"": 6, ""34"": 1, ""35"": 51, ""36"": 3, ""37"": 18, ""38"": 8, ""39"": 152, ""4"": 25, ""40"": 18, ""41"": 27, ""42"": 6, ""43"": 1, ""44"": 14, ""45"": 1, ""46"": 3, ""5"": 4, ""6"": 9, ""7"": 12, ""8"": 52, ""9"": 49}",b5a0fa3caec4f48656c3fbca3b61a75b03b32e06526b1ce766abf889abf2479e,726f256af4483237e5ab5d8254259025002599ba4124802e69740debed0624ab,4e59799f11670efd26b5110e7e30669043240390301d061ec3992dd8bb93b300,63aa1061dd64a266ec4f44b5edf56349123a0c3502953bb25e00a311a98c4e10
client_19,4755,1189,"{""0"": 237, ""1"": 65, ""10"": 25, ""11"": 114, ""12"": 311, ""13"": 96, ""14"": 102, ""15"": 7, ""16"": 20, ""17"": 18, ""18"": 536, ""19"": 224, ""2"": 4, ""20"": 171, ""21"": 186, ""22"": 278, ""23"": 9, ""24"": 7, ""25"": 470, ""26"": 85, ""27"": 78, ""28"": 95, ""29"": 204, ""3"": 110, ""30"": 187, ""31"": 8, ""32"": 9, ""33"": 23, ""34"": 193, ""35"": 10, ""36"": 73, ""37"": 86, ""38"": 29, ""39"": 3, ""4"": 81, ""40"": 155, ""41"": 23, ""42"": 172, ""43"": 17, ""45"": 41, ""46"": 43, ""5"": 38, ""6"": 66, ""7"": 2, ""8"": 42, ""9"": 2}","{""0"": 69, ""1"": 11, ""10"": 14, ""11"": 20, ""12"": 67, ""13"": 27, ""14"": 25, ""15"": 1, ""16"": 6, ""17"": 2, ""18"": 129, ""19"": 47, ""2"": 4, ""20"": 42, ""21"": 51, ""22"": 61, ""24"": 1, ""25"": 107, ""26"": 19, ""27"": 22, ""28"": 19, ""29"": 65, ""3"": 30, ""30"": 44, ""31"": 2, ""32"": 2, ""33"": 9, ""34"": 55, ""35"": 3, ""36"": 21, ""37"": 34, ""38"": 7, ""39"": 4, ""4"": 18, ""40"": 34, ""41"": 2, ""42"": 54, ""43"": 4, ""44"": 1, ""45"": 14, ""46"": 5, ""5"": 7, ""6"": 13, ""8"": 16, ""9"": 1}",cbfa428c6473198b3f4dd18886d7d7e3c6456ed22613f3da56d91dd79d942cf0,908cd4cb91da27e91db51b7df954245d5302d0c3582dfd9bffe63037d3ec5952,866797aaf8561c2972e3fe53b893b87f65be7125f6fcc90a517686741b94488c,0a8dde1ba3ff1c04ee7962a38f06e782bc5bbe58abe16e632a9955892a719695
